Date,brent-daily_Price,dubai-daily_Price,dubai-daily_Open,dubai-daily_High,dubai-daily_Low,wti-daily_Price
2015-01-01,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-01-02,55.38,53.7,53.7,53.7,53.7,52.72
2015-01-03,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-01-04,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-01-05,51.08,49.48,49.48,49.48,49.48,50.05
2015-01-06,50.12,48.18,48.18,48.18,48.18,47.98
2015-01-07,49.06,48.23,48.23,48.23,48.23,48.69
2015-01-08,49.43,48.01,48.01,48.01,48.01,48.8
2015-01-09,47.64,47.71,47.71,47.71,47.71,48.35
2015-01-10,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-01-11,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-01-12,46.9,45.95,45.95,45.95,45.95,46.06
2015-01-13,45.13,45.36,45.36,45.36,45.36,45.92
2015-01-14,45.82,46.5,46.5,46.5,46.5,48.49
2015-01-15,47.66,45.58,45.58,45.58,45.58,46.37
2015-01-16,47.38,46.12,46.12,46.12,46.12,48.49
2015-01-17,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-01-18,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-01-19,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-01-20,46.49,45.29,45.29,45.29,45.29,46.79
2015-01-21,46.5,45.54,45.54,45.54,45.54,47.85
2015-01-22,46.09,45.4,45.4,45.4,45.4,45.93
2015-01-23,46.69,45.52,45.52,45.52,45.52,45.26
2015-01-24,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-01-25,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-01-26,46.07,45.42,45.42,45.42,45.42,44.8
2015-01-27,46.55,45.64,45.64,45.64,45.64,45.84
2015-01-28,47.07,45.53,45.53,45.53,45.53,44.08
2015-01-29,46.61,45.57,45.57,45.57,45.57,44.12
2015-01-30,47.52,45.57,45.57,45.57,45.57,47.79
2015-01-31,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-02-01,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-02-02,51.74,52.2,52.2,52.2,52.2,49.25
2015-02-03,54.41,52.89,52.89,52.89,52.89,53.04
2015-02-04,55.07,54.04,54.04,54.04,54.04,48.45
2015-02-05,55.98,53.66,53.66,53.66,53.66,50.48
2015-02-06,55.88,54.48,54.48,54.48,54.48,51.66
2015-02-07,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-02-08,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-02-09,57.0,54.85,54.85,54.85,54.85,52.99
2015-02-10,55.79,53.8,53.8,53.8,53.8,50.06
2015-02-11,53.48,53.28,53.28,53.28,53.28,48.8
2015-02-12,56.23,55.22,55.22,55.22,55.22,51.17
2015-02-13,60.33,55.85,55.85,55.85,55.85,52.66
2015-02-14,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-02-15,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-02-16,61.57,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-02-17,60.78,56.19,56.19,56.19,56.19,53.56
2015-02-18,60.72,56.22,56.22,56.22,56.22,52.13
2015-02-19,58.78,56.22,56.22,56.22,56.22,51.12
2015-02-20,60.99,56.22,56.22,56.22,56.22,49.95
2015-02-21,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-02-22,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-02-23,59.78,55.24,55.24,55.24,55.24,49.56
2015-02-24,60.33,55.09,55.09,55.09,55.09,48.48
2015-02-25,59.77,55.46,55.46,55.46,55.46,50.25
2015-02-26,61.39,55.33,55.33,55.33,55.33,47.65
2015-02-27,61.89,55.44,55.44,55.44,55.44,49.84
2015-02-28,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-03-01,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-03-02,60.75,57.03,57.03,57.03,57.03,49.59
2015-03-03,61.18,58.67,58.67,58.67,58.67,50.43
2015-03-04,59.18,58.14,58.14,58.14,58.14,51.53
2015-03-05,60.33,57.86,57.86,57.86,57.86,50.76
2015-03-06,59.15,57.41,57.41,57.41,57.41,49.61
2015-03-07,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-03-08,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-03-09,58.67,56.63,56.63,56.63,56.63,49.95
2015-03-10,55.95,55.1,55.1,55.1,55.1,48.42
2015-03-11,56.46,55.91,55.91,55.91,55.91,48.06
2015-03-12,56.66,55.54,55.54,55.54,55.54,47.12
2015-03-13,54.8,54.36,54.36,54.36,54.36,44.88
2015-03-14,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-03-15,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-03-16,52.0,53.94,53.94,53.94,53.94,43.93
2015-03-17,52.17,53.59,53.59,53.59,53.59,43.39
2015-03-18,52.59,54.57,54.57,54.57,54.57,44.63
2015-03-19,52.96,53.87,53.87,53.87,53.87,44.02
2015-03-20,53.88,54.32,54.32,54.32,54.32,46.0
2015-03-21,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-03-22,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-03-23,53.82,54.47,54.47,54.47,54.47,47.4
2015-03-24,53.61,54.33,54.33,54.33,54.33,47.03
2015-03-25,54.18,54.58,54.58,54.58,54.58,48.75
2015-03-26,57.02,55.03,55.03,55.03,55.03,51.41
2015-03-27,56.44,54.69,54.69,54.69,54.69,48.83
2015-03-28,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-03-29,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-03-30,53.99,54.64,54.64,54.64,54.64,48.66
2015-03-31,53.69,54.66,54.66,54.66,54.66,47.72
2015-04-01,55.73,55.47,55.47,55.47,55.47,50.12
2015-04-02,55.73,54.83,54.83,54.83,54.83,49.13
2015-04-03,62.49193170731708,54.83,54.83,54.83,54.83,58.50409698169223
2015-04-04,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-04-05,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-04-06,55.73,56.24,56.24,56.24,56.24,52.08
2015-04-07,57.55,57.0,57.0,57.0,57.0,53.95
2015-04-08,56.42,54.03,54.03,54.03,54.03,50.44
2015-04-09,56.04,54.92,54.92,54.92,54.92,50.79
2015-04-10,56.82,55.99,55.99,55.99,55.99,51.63
2015-04-11,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-04-12,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-04-13,57.14,56.27,56.27,56.27,56.27,51.95
2015-04-14,57.69,56.92,56.92,56.92,56.92,53.3
2015-04-15,59.32,58.8,58.8,58.8,58.8,56.25
2015-04-16,60.13,58.74,58.74,58.74,58.74,56.69
2015-04-17,61.31,58.43,58.43,58.43,58.43,55.71
2015-04-18,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-04-19,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-04-20,61.2,58.42,58.42,58.42,58.42,56.37
2015-04-21,60.12,57.73,57.73,57.73,57.73,55.58
2015-04-22,60.12,57.95,57.95,57.95,57.95,56.17
2015-04-23,62.66,58.39,58.39,58.39,58.39,56.59
2015-04-24,62.96,58.44,58.44,58.44,58.44,55.98
2015-04-25,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-04-26,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-04-27,62.86,58.46,58.46,58.46,58.46,55.56
2015-04-28,62.61,58.44,58.44,58.44,58.44,57.05
2015-04-29,63.97,58.51,58.51,58.51,58.51,58.55
2015-04-30,63.9,58.55,58.55,58.55,58.55,59.62
2015-05-01,64.13,64.24,64.24,64.24,64.24,59.1
2015-05-02,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-05-03,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-05-04,64.62,64.14,64.14,64.14,64.14,58.92
2015-05-05,65.44,65.13,65.13,65.13,65.13,60.38
2015-05-06,66.22,65.64,65.64,65.64,65.64,60.93
2015-05-07,64.93,63.9,63.9,63.9,63.9,58.99
2015-05-08,63.82,63.97,63.97,63.97,63.97,59.41
2015-05-09,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-05-10,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-05-11,62.82,63.72,63.72,63.72,63.72,59.23
2015-05-12,65.09,64.95,64.95,64.95,64.95,60.72
2015-05-13,66.33,64.91,64.91,64.91,64.91,60.5
2015-05-14,65.58,64.65,64.65,64.65,64.65,59.89
2015-05-15,64.69,64.58,64.58,64.58,64.58,59.73
2015-05-16,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-05-17,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-05-18,65.15,64.3,64.3,64.3,64.3,59.44
2015-05-19,63.48,63.09,63.09,63.09,63.09,57.3
2015-05-20,63.52,63.65,63.65,63.65,63.65,58.96
2015-05-21,64.7,64.08,64.08,64.08,64.08,60.18
2015-05-22,64.7,63.69,63.69,63.69,63.69,58.88
2015-05-23,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-05-24,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-05-25,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-05-26,61.65,63.5,63.5,63.5,63.5,57.29
2015-05-27,61.35,63.38,63.38,63.38,63.38,57.51
2015-05-28,60.12,63.5,63.5,63.5,63.5,57.69
2015-05-29,63.16,63.56,63.56,63.56,63.56,60.25
2015-05-30,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-05-31,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-06-01,62.87,63.07,63.07,63.07,63.07,60.24
2015-06-02,63.14,63.73,63.73,63.73,63.73,61.3
2015-06-03,62.78,62.23,62.23,62.23,62.23,59.67
2015-06-04,60.34,60.59,60.59,60.59,60.59,58.0
2015-06-05,60.36,61.65,61.65,61.65,61.65,59.11
2015-06-06,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-06-07,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-06-08,61.33,61.01,61.01,61.01,61.01,58.15
2015-06-09,63.23,62.46,62.46,62.46,62.46,60.15
2015-06-10,64.68,63.16,63.16,63.16,63.16,61.36
2015-06-11,63.76,63.06,63.06,63.06,63.06,60.74
2015-06-12,63.19,62.43,62.43,62.43,62.43,59.96
2015-06-13,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-06-14,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-06-15,60.99,62.02,62.02,62.02,62.02,59.53
2015-06-16,60.75,61.72,61.72,61.72,61.72,60.01
2015-06-17,60.75,61.93,61.93,61.93,61.93,59.89
2015-06-18,61.37,62.09,62.09,62.09,62.09,60.41
2015-06-19,59.41,61.55,61.55,61.55,61.55,59.62
2015-06-20,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-06-21,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-06-22,60.54,61.7,61.7,61.7,61.7,60.01
2015-06-23,61.67,62.01,62.01,62.01,62.01,61.05
2015-06-24,61.63,61.89,61.89,61.89,61.89,60.01
2015-06-25,60.24,61.88,61.88,61.88,61.88,59.59
2015-06-26,60.14,61.91,61.91,61.91,61.91,59.41
2015-06-27,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-06-28,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-06-29,59.03,61.76,61.76,61.76,61.76,58.34
2015-06-30,60.31,61.79,61.79,61.79,61.79,59.48
2015-07-01,61.65,61.24,61.24,61.24,61.24,56.94
2015-07-02,61.73,61.15,61.15,61.15,61.15,56.93
2015-07-03,59.06,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-07-04,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-07-05,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-07-06,57.19,56.35,56.35,56.35,56.35,52.48
2015-07-07,54.72,56.82,56.82,56.82,56.82,52.33
2015-07-08,55.7,57.23,57.23,57.23,57.23,51.61
2015-07-09,57.83,58.26,58.26,58.26,58.26,52.76
2015-07-10,57.72,58.4,58.4,58.4,58.4,52.74
2015-07-11,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-07-12,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
2015-07-13,57.63,57.9,57.9,57.9,57.9,52.19
2015-07-14,57.2,58.01,58.01,58.01,58.01,53.05
2015-07-15,57.34,56.97,56.97,56.97,56.97,51.4
2015-07-16,57.31,56.84,56.84,56.84,56.84,50.9
2015-07-17,56.38,56.96,56.96,56.96,56.96,50.88
2015-07-18,62.49193170731708,60.87913129318856,60.879146100691024,60.879146100691024,60.879146100691024,58.50409698169223
