Date,Price,Open,High,Low
13-04-2023,49.165,50.47,50.47,47.86
12-04-2023,50.15,49.98,51,49.3
11-04-2023,48.905,48.87,50.05,47.76
10-04-2023,49.745,51.49,51.49,48
06-04-2023,48.345,48.4,49.04,47.65
05-04-2023,45.605,44.5,46.71,44.5
03-04-2023,44.145,44.5,44.58,43.71
31-03-2023,45.015,44.55,46.2,43.83
29-03-2023,44.125,44.7,45.2,43.05
28-03-2023,43.45,43.7,44.8,42.1
27-03-2023,44.72,45.5,45.62,43.82
24-03-2023,47.25,47,48.5,46
23-03-2023,47.275,46.3,48.25,46.3
22-03-2023,47.475,48,48.4,46.55
21-03-2023,49.27,50.99,50.99,47.55
20-03-2023,47.54,48,48.57,46.51
17-03-2023,46.675,46.5,47.75,45.6
16-03-2023,45.2,44.31,46.39,44.01
15-03-2023,45.48,45.99,46.29,44.67
14-03-2023,45.74,45.78,46.9,44.58
13-03-2023,46.14,47,48.2,44.08
10-03-2023,45.92,47.73,47.73,44.11
09-03-2023,45.245,45.47,45.47,45.02
08-03-2023,42.405,42.39,43.31,41.5
06-03-2023,41.695,42,42.29,41.1
03-03-2023,43.42,44.89,44.89,41.95
02-03-2023,43.395,44.1,44.79,42
01-03-2023,42.99,43.25,43.88,42.1
28-02-2023,42.325,41.6,43.05,41.6
27-02-2023,41.55,42,42.9,40.2
24-02-2023,41.85,40.3,43.4,40.3
23-02-2023,41.025,41.05,42,40.05
22-02-2023,41.275,41.25,42.5,40.05
21-02-2023,40.625,40.55,41.75,39.5
20-02-2023,40.625,41.5,41.5,39.75
17-02-2023,40.7,39.9,41.5,39.9
16-02-2023,41.3,41.75,42.5,40.1
15-02-2023,41.3,41.05,42,40.6
14-02-2023,41.95,42.35,42.9,41
13-02-2023,41.55,40.95,42.95,40.15
10-02-2023,41,41.45,42,40
09-02-2023,40.275,40.25,41.5,39.05
08-02-2023,40.175,41.2,41.2,39.15
07-02-2023,40.025,39.7,40.75,39.3
06-02-2023,39.025,38.15,39.95,38.1
03-02-2023,40.125,40.5,41.4,38.85
02-02-2023,40.225,40.6,41.3,39.15
01-02-2023,41.075,42.15,42.15,40
31-01-2023,41.1,40.1,42.1,40.1
30-01-2023,40.85,41,41.7,40
27-01-2023,40.275,40.35,41.5,39.05
25-01-2023,41.125,41.05,42.5,39.75
24-01-2023,41.625,41,42.25,41
23-01-2023,41.225,42,42.25,40.2
20-01-2023,42,42.5,42.7,41.3
19-01-2023,42.6,42.55,43.2,42
18-01-2023,43.45,42.5,44.4,42.5
17-01-2023,43.05,42.4,44,42.1
16-01-2023,44.15,44,45.9,42.4
13-01-2023,43.825,42.5,45.15,42.5
12-01-2023,42.7,42.4,43.55,41.85
11-01-2023,42.975,43.9,43.9,42.05
10-01-2023,42.75,42.05,43.5,42
09-01-2023,43.05,42.5,44.1,42
06-01-2023,42.35,41.2,43.5,41.2
05-01-2023,41.875,40.95,42.8,40.95
04-01-2023,41.75,41.8,42.75,40.75
03-01-2023,40.275,39.3,41.25,39.3
02-01-2023,38.825,38.7,39.45,38.2
30-12-2022,38.3,38.5,38.5,38.1
29-12-2022,38.4,38.05,39,37.8
28-12-2022,39.575,40.5,40.5,38.65
27-12-2022,41.525,42.5,42.5,40.55
26-12-2022,41.45,40,43.2,39.7
23-12-2022,42.625,43.6,43.6,41.65
22-12-2022,42.325,42.35,44.4,40.25
21-12-2022,43.5,44.75,45.45,41.55
20-12-2022,42.6,43.4,43.65,41.55
19-12-2022,42,42.15,43,41
16-12-2022,43.4,44.05,44.8,42
15-12-2022,44.825,45.5,45.65,44
14-12-2022,45.5,46.8,46.85,44.15
13-12-2022,44.875,44.45,45.75,44
12-12-2022,43.225,43.05,44.5,41.95
09-12-2022,44.825,46,46.05,43.6
08-12-2022,46.425,47.6,47.6,45.25
07-12-2022,49.225,50.85,50.85,47.6
06-12-2022,51.1,53,53,49.2
05-12-2022,51.825,52.1,54.4,49.25
02-12-2022,49.5,48,51.7,47.3
01-12-2022,45.075,43.85,47.15,43
30-11-2022,43.75,44.6,46.9,40.6
29-11-2022,46.75,49,49.7,43.8
28-11-2022,45.4,42,48.8,42
25-11-2022,40.575,40.25,42,39.15
24-11-2022,38.05,35.4,40.7,35.4
23-11-2022,33.575,32.25,34.9,32.25
22-11-2022,31.95,31.1,32.8,31.1
21-11-2022,31.8,32,32.8,30.8
18-11-2022,32.025,32.8,33,31.05
17-11-2022,33.55,34.95,35,32.1
16-11-2022,34.35,35.4,35.9,32.8
15-11-2022,34.6,33.2,36,33.2
14-11-2022,33.425,32.75,34.85,32
11-11-2022,33.45,32.2,34.7,32.2
10-11-2022,30.65,29.45,32.55,28.75
09-11-2022,29.325,29,29.9,28.75
07-11-2022,29.6,30.5,30.5,28.7
04-11-2022,29.825,29.95,30.95,28.7
03-11-2022,29.575,29.9,29.95,29.2
02-11-2022,29.8,30.3,30.3,29.3
01-11-2022,29.8,30.1,30.5,29.1
31-10-2022,29.7,29.3,30.25,29.15
28-10-2022,29.3,28.4,31,27.6
27-10-2022,28.675,29,29,28.35
25-10-2022,28.5,28.5,28.9,28.1
24-10-2022,28.775,29.45,29.45,28.1
21-10-2022,27.95,27.9,28.5,27.4
20-10-2022,27.725,27.5,28.25,27.2
19-10-2022,27.75,27,28.5,27
18-10-2022,27.2,27.2,28,26.4
17-10-2022,27.5,26.5,28.9,26.1
14-10-2022,25.875,26.45,26.6,25.15
13-10-2022,26.05,26.35,26.5,25.6
12-10-2022,26.5,26.95,27.5,25.5
11-10-2022,27.3,26.55,28.1,26.5
10-10-2022,26.975,27.5,27.8,26.15
07-10-2022,25.8,28.45,28.5,23.1
06-10-2022,27.825,28.4,28.5,27.15
04-10-2022,26.575,25.8,28.4,24.75
03-10-2022,24.85,24,25.7,24
30-09-2022,24.5,24.6,25.55,23.45
29-09-2022,25.125,25.3,25.95,24.3
28-09-2022,25.4,26.3,26.3,24.5
27-09-2022,26.525,26.7,27.5,25.55
26-09-2022,26.45,27.8,27.8,25.1
23-09-2022,27.05,27.45,27.65,26.45
